hour_utc,btc_close,ema8,ema21,roc_4h,decel_signal,ema_cross,reversal_warning
2026-04-14 00:00,74163.82,73531.14,72553.07,1.3868,,,
2026-04-14 01:00,74386.02,73721.11,72719.7,1.6484,,,
2026-04-14 02:00,74330.98,73856.64,72866.18,-0.3967,,,
2026-04-14 03:00,74444.43,73987.26,73009.66,0.0355,,,
2026-04-14 04:00,74387.85,74076.28,73134.95,0.3021,,,
2026-04-14 05:00,74210.11,74106.02,73232.69,-0.2365,,,
2026-04-14 06:00,74522.73,74198.62,73349.97,0.258,,,
2026-04-14 07:00,74546.0,74275.82,73458.7,0.1364,,,
2026-04-14 08:00,74750.0,74381.19,73576.09,0.4868,,,
2026-04-14 09:00,74500.0,74407.59,73660.08,0.3906,,,
2026-04-14 10:00,74350.01,74394.8,73722.8,-0.2318,,,
2026-04-14 11:00,74376.52,74390.74,73782.23,-0.2273,,,
2026-04-14 12:00,74452.0,74404.35,73843.12,-0.3987,,,
2026-04-14 13:00,75525.94,74653.59,73996.1,1.3771,,,
2026-04-14 14:00,75013.62,74733.6,74088.6,0.8925,,,
2026-04-14 15:00,75317.07,74863.26,74200.28,1.2646,,,
2026-04-14 16:00,74652.2,74816.36,74241.37,0.2689,,,
2026-04-14 17:00,74748.9,74801.37,74287.51,-1.0288,,,
2026-04-14 18:00,74093.19,74643.99,74269.84,-1.227,TOP_DECEL,,
2026-04-14 19:00,74223.18,74550.48,74265.6,-1.4524,,,
2026-04-14 20:00,74102.29,74450.88,74250.75,-0.7366,,,
2026-04-14 21:00,74277.15,74412.27,74253.15,-0.6311,,,
2026-04-14 22:00,74023.15,74325.8,74232.24,-0.0945,BOT_DECEL,,
2026-04-14 23:00,74131.55,74282.64,74223.09,-0.1235,,,
2026-04-15 00:00,74568.36,74346.13,74254.48,0.629,,,
2026-04-15 01:00,74613.28,74405.5,74287.1,0.4525,,,
2026-04-15 02:00,74322.0,74386.94,74290.27,0.4037,,,
2026-04-15 03:00,74345.97,74377.84,74295.33,0.2892,TOP_DECEL,,
2026-04-15 04:00,74340.38,74369.51,74299.43,-0.3057,,,
2026-04-15 05:00,74021.5,74292.18,74274.16,-0.7931,,,
2026-04-15 06:00,73891.62,74203.16,74239.39,-0.5791,,BEARISH,BEARISH_REVERSAL
2026-04-15 07:00,73730.43,74098.11,74193.12,-0.8279,,,BEARISH_REVERSAL
2026-04-15 08:00,74110.51,74100.87,74185.61,-0.3092,,,BEARISH_REVERSAL
2026-04-15 09:00,74011.69,74081.05,74169.8,-0.0133,,,BEARISH_REVERSAL
2026-04-15 10:00,73864.75,74032.98,74142.06,-0.0364,,,
2026-04-15 11:00,74201.78,74070.49,74147.49,0.6393,,,
2026-04-15 12:00,74273.77,74115.67,74158.97,0.2203,,,
2026-04-15 13:00,74063.92,74104.17,74150.33,0.0706,,,
2026-04-15 14:00,74151.81,74114.75,74150.47,0.3886,,,
2026-04-15 15:00,73844.08,74054.6,74122.61,-0.4821,,,
2026-04-15 16:00,73941.09,74029.38,74106.11,-0.4479,,,
2026-04-15 17:00,74134.95,74052.84,74108.73,0.0959,,,
2026-04-15 18:00,74390.29,74127.83,74134.33,0.3216,,,
2026-04-15 19:00,75002.6,74322.22,74213.26,1.5689,,BULLISH,
2026-04-15 20:00,74841.68,74437.66,74270.39,1.218,,,
2026-04-15 21:00,74743.1,74505.53,74313.36,0.8203,,,
2026-04-15 22:00,74964.0,74607.41,74372.51,0.7712,TOP_DECEL,,
2026-04-15 23:00,74809.99,74652.43,74412.28,-0.2568,TOP_DECEL,,
2026-04-16 00:00,74815.1,74688.58,74448.9,-0.0355,,,
2026-04-16 01:00,74657.66,74681.71,74467.88,-0.1143,,,
2026-04-16 02:00,74887.24,74727.38,74506.01,-0.1024,,,
2026-04-16 03:00,74888.21,74763.12,74540.75,0.1046,,,
2026-04-16 04:00,74944.15,74803.35,74577.42,0.1725,,,
2026-04-16 05:00,75043.48,74856.71,74619.79,0.5168,,,
2026-04-16 06:00,75045.01,74898.56,74658.45,0.2107,,,
2026-04-16 07:00,74707.03,74855.99,74662.87,-0.2419,,,
2026-04-16 08:00,74677.91,74816.42,74664.23,-0.3553,TOP_DECEL,,
2026-04-16 09:00,74594.02,74767.0,74657.85,-0.5989,,,
2026-04-16 10:00,74313.0,74666.11,74626.5,-0.9754,,,
2026-04-16 11:00,74574.79,74645.82,74621.8,-0.177,,,
2026-04-16 12:00,74624.0,74640.97,74622.0,-0.0722,,,
2026-04-16 13:00,73788.03,74451.43,74546.18,-1.0805,,BEARISH,BEARISH_REVERSAL
2026-04-16 14:00,73973.33,74345.18,74494.11,-0.4571,,,BEARISH_REVERSAL
2026-04-16 15:00,74519.99,74384.03,74496.46,-0.0735,,,
