entry_utc,coin,direction,leverage,entry_price,actual_sl,actual_tp,margin,actual_roi%,actual_pnl,actual_exit,sim_status,new_sl,new_tp,opt_sl_mult,opt_rr,opt_hold_1h,atr,sim_roi%,sim_pnl,sim_exit,block_reason,news_hold
2026-04-14 22:19 UTC,LDO,LONG,8,0.3504,0.3445,0.361,350.31,3.0,10.4,TIME_EXIT,EXECUTED,0.342636,0.362046,1.0,1.5,16,0.007764,26.59,90.91,TARGET_HIT,,False
2026-04-14 22:19 UTC,BTC,LONG,10,74074.1,73598.693,74929.8326,348.15,6.3,21.83,TIME_EXIT,EXECUTED,73444.553571,75018.419643,1.0,1.5,16,629.546429,1.05,0.87,TIME_EXIT,,False
2026-04-14 22:30 UTC,LINK,LONG,8,8.9878,8.9167,9.1158,349.4,8.3,28.92,TIME_EXIT,EXECUTED,8.941371,9.103871,0.5,2.5,12,0.092857,10.33,33.86,TARGET_HIT,,False
2026-04-14 22:30 UTC,ETH,LONG,8,2313.29,2295.2393,2345.7813,346.99,7.0,24.43,TIME_EXIT,EXECUTED,2298.848,2330.6204,0.6,1.2,4,24.07,5.99,18.58,TARGET_HIT,,False
2026-04-14 22:32 UTC,AVAX,LONG,8,9.311,9.2327,9.452,350.33,4.3,15.05,TIME_EXIT,EXECUTED,9.239,9.491,0.7,2.5,16,0.102857,11.94,39.6,TIME_EXIT,,False
2026-04-14 23:16 UTC,SOL,SHORT,8,83.61,84.2782,82.2736,350.12,-1.3,-4.69,TIME_EXIT,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+3.1% 1d=-0.4% -> no SHORT,False
2026-04-14 23:18 UTC,PENDLE,SHORT,8,1.046,1.0552,1.0276,350.02,-7.0,-26.87,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+3.1% 1d=-0.4% -> no SHORT,False
2026-04-14 23:40 UTC,XRP,SHORT,8,1.3624,1.3712,1.3447,349.97,4.5,15.62,TIME_EXIT,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+3.1% 1d=-0.4% -> no SHORT,False
2026-04-15 00:06 UTC,ADA,SHORT,8,0.2405,0.2426,0.2364,350.02,4.0,13.97,TIME_EXIT,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.0% 1d=+0.5% -> no SHORT,False
2026-04-15 00:06 UTC,BNB,SHORT,8,615.4,618.4442,609.3117,353.85,-3.9,-15.93,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.0% 1d=+0.5% -> no SHORT,False
2026-04-15 02:13 UTC,PENDLE,SHORT,8,1.0502,1.0607,1.0291,351.69,0.7,2.41,TIME_EXIT,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.1% 1d=-0.0% -> no SHORT,False
2026-04-15 02:26 UTC,BTC,LONG,8,74351.0,73840.7244,75371.5513,353.17,-3.5,-12.44,TIME_EXIT,EXECUTED,73682.354286,75353.968571,1.0,1.5,16,668.645714,-7.19,-27.67,STOP_LOSS,,False
2026-04-15 02:31 UTC,AVAX,LONG,8,9.311,9.2258,9.4815,351.49,4.0,14.19,TIME_EXIT,EXECUTED,9.232,9.5085,0.7,2.5,16,0.112857,13.66,45.77,TIME_EXIT,,False
2026-04-15 03:33 UTC,ADA,SHORT,8,0.2399,0.2417,0.2362,353.37,-6.0,-23.34,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.3% 1d=-0.1% -> no SHORT,False
2026-04-15 03:56 UTC,LINK,SHORT,8,9.0638,9.1347,8.922,352.36,3.1,10.82,TIME_EXIT,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+4.3% 1d=-0.1% -> no SHORT,False
2026-04-15 04:02 UTC,ETH,SHORT,8,2329.93,2349.1419,2291.5063,349.49,4.6,15.92,TIME_EXIT,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+3.9% 1d=-0.1% -> no SHORT,False
2026-04-15 04:12 UTC,CRV,LONG,8,0.2182,0.2165,0.2216,353.27,-5.9,-23.82,STOP_LOSS,EXECUTED,0.216537,0.220195,0.8,1.2,4,0.002079,-6.1,-23.8,STOP_LOSS,,False
2026-04-15 05:22 UTC,BNB,LONG,8,613.95,611.2847,619.2805,353.02,0.8,0.6,TARGET_HIT,EXECUTED,612.208214,617.433571,0.5,2.0,12,3.483571,-2.27,-10.27,STOP_LOSS,,False
2026-04-15 05:55 UTC,LDO,LONG,7,0.3481,0.3443,0.3556,351.53,-13.3,-48.35,STOP_LOSS,EXECUTED,0.343193,0.355461,1.0,1.5,16,0.004907,14.8,50.06,TARGET_HIT,,False
2026-04-15 06:05 UTC,POL,LONG,8,0.0831,0.0826,0.0842,351.55,-5.1,-20.81,STOP_LOSS,EXECUTED,0.082294,0.084067,1.2,1.2,16,0.000671,9.31,30.47,TARGET_HIT,,False
2026-04-15 21:16 UTC,ETH,LONG,8,2352.84,2337.8756,2382.7688,352.93,-1.0,-6.48,STOP_LOSS,EXECUTED,2341.365857,2366.608971,0.6,1.2,4,19.123571,4.68,14.26,TARGET_HIT,,False
2026-04-15 21:16 UTC,BTC,LONG,8,74632.1,74247.7959,75400.7081,354.5,-0.4,-4.43,STOP_LOSS,EXECUTED,74140.240714,75369.888929,1.0,1.5,16,491.859286,7.91,25.77,TARGET_HIT,,False
2026-04-15 22:25 UTC,CRV,LONG,8,0.2235,0.2214,0.2276,349.97,-7.5,-28.39,STOP_LOSS,EXECUTED,0.221523,0.225873,0.8,1.2,4,0.002471,-7.08,-27.01,STOP_LOSS,,False
2026-04-15 23:01 UTC,LINK,LONG,8,9.26,9.1949,9.3902,349.56,-1.4,-4.83,TIME_EXIT,EXECUTED,9.219643,9.360893,0.5,2.5,12,0.080714,-3.49,-14.42,STOP_LOSS,,False
2026-04-15 23:15 UTC,LDO,SHORT,7,0.3748,0.3819,0.3606,344.17,25.1,84.58,TARGET_HIT,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+5.3% 1d=+0.9% -> no SHORT,False
2026-04-15 23:16 UTC,ETH,LONG,8,2355.93,2340.6554,2386.4792,353.39,-1.7,-5.93,TIME_EXIT,EXECUTED,2344.288714,2369.899543,0.6,1.2,4,19.402143,0.66,0.05,TIME_EXIT,,False
2026-04-15 23:16 UTC,BNB,LONG,8,622.05,619.6375,626.8749,349.9,0.3,1.12,TIME_EXIT,EXECUTED,620.516786,625.116429,0.5,2.0,12,3.066429,-1.97,-9.14,STOP_LOSS,,False
2026-04-15 23:36 UTC,ADA,LONG,8,0.2453,0.2433,0.2492,349.98,8.8,30.82,TIME_EXIT,EXECUTED,0.24348,0.24985,0.7,2.5,8,0.0026,14.84,49.69,TARGET_HIT,,False
2026-04-16 01:06 UTC,UNI,LONG,8,3.1993,3.1752,3.2474,349.92,12.3,40.75,TARGET_HIT,EXECUTED,3.176614,3.226523,0.8,1.2,16,0.028357,6.81,21.58,TARGET_HIT,,False
2026-04-16 01:06 UTC,AVAX,LONG,8,9.3506,9.277,9.4978,349.48,12.7,42.43,TARGET_HIT,EXECUTED,9.2896,9.5031,0.7,2.5,16,0.087143,13.05,43.36,TARGET_HIT,,False
2026-04-16 01:06 UTC,PENDLE,LONG,8,1.0866,1.0747,1.1103,349.89,17.4,58.92,TARGET_HIT,EXECUTED,1.0754,1.1146,0.8,2.5,12,0.014,20.61,69.89,TARGET_HIT,,False
2026-04-16 02:15 UTC,BTC,LONG,8,74572.0,74167.3156,75381.3687,354.22,4.0,14.06,TIME_EXIT,EXECUTED,74048.749286,75356.876071,1.0,1.5,16,523.250714,-5.61,-22.15,STOP_LOSS,,False
2026-04-16 05:36 UTC,PENDLE,SHORT,7,1.1405,1.1513,1.119,349.97,-6.9,-25.91,STOP_LOSS,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+5.7% 1d=+1.4% -> no SHORT,False
2026-04-16 05:36 UTC,CRV,LONG,8,0.2253,0.2237,0.2284,351.55,-3.2,-14.31,STOP_LOSS,EXECUTED,0.223689,0.227234,0.8,1.2,4,0.002014,-5.72,-22.37,STOP_LOSS,,False
2026-04-16 05:36 UTC,BNB,SHORT,8,624.36,626.5875,619.9051,351.2,3.5,12.42,TIME_EXIT,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+5.7% 1d=+1.4% -> no SHORT,False
2026-04-16 05:36 UTC,ETH,SHORT,8,2353.01,2366.3862,2326.2576,352.95,4.4,15.37,TIME_EXIT,BLOCKED_MACRO,,,,,,,0.0,0.0,,MACRO: BTC 7d=+5.7% 1d=+1.4% -> no SHORT,False
