system,coin,direction,entry_ts,entry_price,exit_price,exit_ts,exit_type,sl_pct,tp_pct,pnl_pct,pnl_dollar,bars_held,regime,date
1H,SOL,LONG,1775811600,83.6,83.05714285714285,1775811600,SL,0.006493506493506485,0.01298701298701297,-0.006493506493506513,-1.2987012987013027,1,BULL,2026-04-10
1H,LINK,LONG,1775811600,8.99,8.925428571428572,1775811600,SL,0.007182583823295708,0.014365167646591416,-0.007182583823295668,-1.4365167646591337,1,BULL,2026-04-10
1H,SUI,LONG,1775822400,0.9372499999999999,0.9479,1775829600,TIME,0.009084327249171216,0.018168654498342433,0.011363030141371085,2.272606028274217,3,BULL,2026-04-10
1H,LDO,LONG,1775822400,0.32605,0.3235071428571429,1775822400,SL,0.007798979122395773,0.015597958244791547,-0.00779897912239572,-1.5597958244791439,1,BULL,2026-04-10
1H,FIL,LONG,1775822400,0.9005000000000001,0.912,1775829600,TIME,0.00818592845244706,0.01637185690489412,0.01277068295391444,2.554136590782888,3,BULL,2026-04-10
1H,SOL,LONG,1775822400,84.18,83.7,1775822400,SL,0.005702066999287236,0.011404133998574472,-0.005702066999287289,-1.1404133998574577,1,BULL,2026-04-10
1H,AVAX,LONG,1775822400,9.36,9.44,1775829600,TIME,0.007692307692307713,0.015384615384615425,0.008547008547008555,1.7094017094017109,3,BULL,2026-04-10
1H,UNI,LONG,1775822400,3.1414999999999997,3.183,1775829600,TIME,0.007494145199063224,0.014988290398126448,0.013210249880630303,2.6420499761260605,3,BULL,2026-04-10
1H,ADA,LONG,1775822400,0.252059375,0.2553165178571429,1775829600,TP,0.00646106271021037,0.01292212542042074,0.012922125420420896,2.584425084084179,3,BULL,2026-04-10
1H,NEAR,LONG,1775822400,1.368,1.3552000000000002,1775822400,SL,0.009356725146198803,0.018713450292397606,-0.009356725146198773,-1.8713450292397547,1,BULL,2026-04-10
4H,ALGO,LONG,1775822400,0.1122,0.11106857142857143,1775822400,SL,0.010084033613445374,0.018151260504201672,-0.010084033613445285,-2.016806722689057,1,BULL,2026-04-10
4H,NEAR,LONG,1775822400,1.3777499999999998,1.35855,1775822400,SL,0.013935764833968387,0.025084376701143097,-0.013935764833968344,-2.787152966793669,1,BULL,2026-04-10
4H,TON,LONG,1775822400,1.277,1.291,1775847600,TIME,0.012484617966215441,0.01872692694932316,0.01096319498825373,2.192638997650746,8,BULL,2026-04-10
1H,CRV,LONG,1775833200,0.2213,0.2228,1775840400,TIME,0.009192434316700016,0.018384868633400032,0.006778129236330779,1.3556258472661558,3,BULL,2026-04-10
1H,NEAR,LONG,1775833200,1.3777499999999998,1.3645499999999997,1775840400,SL,0.009580838323353272,0.019161676646706545,-0.009580838323353368,-1.9161676646706736,3,BULL,2026-04-10
1H,TON,LONG,1775833200,1.277,1.282,1775840400,TIME,0.007607114889808691,0.015214229779617382,0.003915426781519276,0.7830853563038552,3,BULL,2026-04-10
1H,FIL,LONG,1775833200,0.912,0.91,1775840400,TIME,0.00802005012531329,0.01604010025062658,-0.002192982456140353,-0.4385964912280706,3,BULL,2026-04-10
1H,PENDLE,LONG,1775833200,1.072,1.074,1775840400,TIME,0.008688699360341176,0.017377398720682353,0.0018656716417910463,0.37313432835820926,3,BULL,2026-04-10
1H,LINK,LONG,1775833200,9.04,9.166857142857143,1775833200,TP,0.007016434892541096,0.014032869785082192,0.014032869785082315,2.806573957016463,1,BULL,2026-04-10
1H,SOL,LONG,1775833200,84.18,85.25314285714288,1775833200,TP,0.006374096324203229,0.012748192648406457,0.01274819264840662,2.549638529681324,1,BULL,2026-04-10
1H,AVAX,LONG,1775833200,9.407499999999999,9.4,1775840400,TIME,0.007228275312250882,0.014456550624501765,-0.0007972362476745691,-0.15944724953491382,3,BULL,2026-04-10
4H,FIL,LONG,1775836800,0.9167500000000001,0.9085857142857143,1775840400,SL,0.008905683898866344,0.008905683898866344,-0.008905683898866359,-1.7811367797732718,2,BULL,2026-04-10
4H,BTC,LONG,1775836800,73217.48000000001,72764.4292857143,1775836800,SL,0.0061877397895381625,0.009281609684307244,-0.006187739789538092,-1.2375479579076185,1,BULL,2026-04-10
4H,XRP,LONG,1775836800,1.3637,1.35869,1775836800,SL,0.0036738285546674635,0.009184571386668658,-0.003673828554667419,-0.7347657109334838,1,BULL,2026-04-10
4H,SUI,LONG,1775836800,0.9599,0.95357,1775836800,SL,0.0065944369205125615,0.016486092301281403,-0.006594436920512498,-1.3188873841024997,1,BULL,2026-04-10
4H,XLM,LONG,1775836800,0.1567390625,0.15500763392857142,1775836800,SL,0.011046567102113287,0.011046567102113287,-0.011046567102113287,-2.2093134204226574,1,BULL,2026-04-10
1H,PENDLE,LONG,1775844000,1.088,1.0784,1775844000,SL,0.008823529411764737,0.017647058823529474,-0.008823529411764754,-1.764705882352951,1,BULL,2026-04-10
1H,NEAR,LONG,1775844000,1.3777499999999998,1.364492857142857,1775844000,SL,0.009622313813930554,0.019244627627861107,-0.009622313813930581,-1.9244627627861162,1,BULL,2026-04-10
1H,APT,LONG,1775844000,0.871,0.8629428571428571,1775844000,SL,0.009250451041495827,0.018500902082991655,-0.009250451041495836,-1.8500902082991673,1,BULL,2026-04-10
1H,AVAX,LONG,1775844000,9.52,9.450285714285714,1775844000,SL,0.0073229291716686825,0.014645858343337365,-0.007322929171668634,-1.4645858343337268,1,BULL,2026-04-10
1H,SUI,LONG,1775844000,0.9606,0.9519542857142856,1775844000,SL,0.009000327176467102,0.018000654352934204,-0.009000327176467175,-1.8000654352934349,1,BULL,2026-04-10
1H,HBAR,LONG,1775844000,0.08993,0.08938542857142856,1775844000,SL,0.006055503486838977,0.012111006973677955,-0.006055503486839052,-1.2111006973678105,1,BULL,2026-04-10
1H,CRV,LONG,1775844000,0.22415,0.2231,1775851200,TIME,0.008616678882126149,0.017233357764252298,-0.0046843631496765355,-0.9368726299353071,3,BULL,2026-04-10
1H,FIL,LONG,1775844000,0.912,0.915,1775851200,TIME,0.00739348370927319,0.01478696741854638,0.003289473684210529,0.6578947368421059,3,BULL,2026-04-10
4H,AVAX,LONG,1775851200,9.39,9.5375,1775851200,TP,0.006283280085197025,0.015708200212992563,0.015708200212992445,3.141640042598489,1,BULL,2026-04-10
4H,ADA,LONG,1775851200,0.25429999999999997,0.25815,1775851200,TP,0.00605583955957532,0.0151395988989383,0.015139598898938343,3.0279197797876685,1,BULL,2026-04-10
4H,NEAR,LONG,1775851200,1.36,1.3405428571428573,1775869200,SL,0.014306722689075593,0.025752100840336068,-0.014306722689075617,-2.8613445378151234,6,BULL,2026-04-10
1H,SUI,LONG,1775854800,0.9491,0.9439,1775862000,TIME,0.008079835031684164,0.01615967006336833,-0.005478874723422287,-1.0957749446844574,3,BULL,2026-04-10
1H,PENDLE,LONG,1775854800,1.093,1.0837428571428571,1775862000,SL,0.008469481113579955,0.01693896222715991,-0.00846948111357992,-1.6938962227159842,3,BULL,2026-04-10
1H,TON,LONG,1775854800,1.3,1.307,1775862000,TIME,0.0071648351648351365,0.014329670329670273,0.005384615384615304,1.0769230769230607,3,BULL,2026-04-10
1H,HBAR,LONG,1775854800,0.08993,0.08938771428571428,1775862000,SL,0.006030086892980264,0.012060173785960528,-0.006030086892980289,-1.2060173785960577,3,BULL,2026-04-10
1H,AVAX,LONG,1775854800,9.43,9.39,1775862000,TIME,0.007574609907589761,0.015149219815179521,-0.0042417815482501744,-0.8483563096500348,3,BULL,2026-04-10
1H,FIL,LONG,1775854800,0.9174375000000001,0.911494642857143,1775862000,SL,0.006477669751734748,0.012955339503469497,-0.006477669751734737,-1.2955339503469474,3,BULL,2026-04-10
1H,APT,LONG,1775854800,0.871,0.868,1775862000,TIME,0.009447269148761697,0.018894538297523394,-0.003444316877152701,-0.6888633754305402,3,BULL,2026-04-10
1H,LINK,LONG,1775854800,9.12,9.09,1775862000,TIME,0.006829573934837114,0.013659147869674228,-0.0032894736842104563,-0.6578947368420912,3,BULL,2026-04-10
1H,PENDLE,LONG,1775865600,1.084,1.074857142857143,1775869200,SL,0.008434370057986302,0.016868740115972603,-0.008434370057986272,-1.6868740115972545,2,BULL,2026-04-11
1H,APT,LONG,1775865600,0.863,0.859,1775872800,TIME,0.009534845224300623,0.019069690448601247,-0.0046349942062572464,-0.9269988412514493,3,BULL,2026-04-11
1H,SOL,LONG,1775865600,84.7,84.8,1775872800,TIME,0.0063147242368021585,0.012629448473604317,0.0011806375442738408,0.23612750885476816,3,BULL,2026-04-11
1H,BTC,LONG,1775865600,72775.075,72966.57,1775872800,TIME,0.005123386779647508,0.010246773559295016,0.0026313267282790146,0.526265345655803,3,BULL,2026-04-11
1H,ETH,LONG,1775865600,2242.75,2248.19,1775872800,TIME,0.006635476217016732,0.013270952434033464,0.002425593579311138,0.4851187158622276,3,BULL,2026-04-11
1H,LDO,LONG,1775865600,0.33147499999999996,0.3327,1775872800,TIME,0.009877926583560476,0.019755853167120953,0.0036956029866506727,0.7391205973301346,3,BULL,2026-04-11
1H,TON,LONG,1775865600,1.3235000000000001,1.314757142857143,1775865600,SL,0.006605861082627215,0.01321172216525443,-0.006605861082627248,-1.3211722165254496,1,BULL,2026-04-11
1H,XRP,LONG,1775865600,1.3573,1.3513514285714285,1775869200,SL,0.004382650429950248,0.008765300859900496,-0.004382650429950206,-0.8765300859900411,2,BULL,2026-04-11
4H,POL,LONG,1775865600,0.0846,0.08577257142857142,1775872800,TP,0.011550151975683856,0.013860182370820628,0.013860182370820635,2.772036474164127,3,BULL,2026-04-11
4H,LDO,LONG,1775865600,0.33147499999999996,0.32738214285714284,1775887200,SL,0.012347408229450596,0.018521112344175895,-0.01234740822945055,-2.46948164589011,7,BULL,2026-04-11
4H,SUI,LONG,1775865600,0.9372499999999999,0.93185,1775887200,SL,0.005761536409709267,0.014403841024273167,-0.005761536409709214,-1.1523072819418427,7,BULL,2026-04-11
4H,UNI,LONG,1775865600,3.1514375,3.1312089285714286,1775883600,SL,0.006418839475182812,0.0077026073702193745,-0.006418839475182828,-1.2837678950365656,6,BULL,2026-04-11
4H,APT,LONG,1775865600,0.855,0.853,1775890800,TIME,0.010827067669172944,0.0194887218045113,-0.00233918128654971,-0.46783625730994194,8,BULL,2026-04-11
1H,LDO,LONG,1775876400,0.33147499999999996,0.3289,1775883600,TIME,0.009533147296176176,0.019066294592352352,-0.007768308318877559,-1.5536616637755118,3,BULL,2026-04-11
1H,ETH,LONG,1775876400,2236.62875,2232.79,1775883600,TIME,0.005942106267875564,0.011884212535751127,-0.001716310764582585,-0.34326215291651696,3,BULL,2026-04-11
1H,BTC,LONG,1775876400,72782.575,72722.28,1775883600,TIME,0.0046959356097841425,0.009391871219568285,-0.0008284263094566008,-0.16568526189132016,3,BULL,2026-04-11
1H,TON,LONG,1775876400,1.309,1.305,1775883600,TIME,0.007071919676961691,0.014143839353923382,-0.0030557677616501176,-0.6111535523300236,3,BULL,2026-04-11
1H,BNB,LONG,1775876400,608.06375,605.8763214285714,1775876400,SL,0.003597367169854438,0.007194734339708876,-0.003597367169854566,-0.7194734339709132,1,BULL,2026-04-11
1H,APT,LONG,1775876400,0.855,0.85,1775883600,TIME,0.009156223893066008,0.018312447786132016,-0.005847953216374275,-1.1695906432748548,3,BULL,2026-04-11
1H,SUI,LONG,1775876400,0.93685,0.9332,1775883600,TIME,0.007459648213237381,0.014919296426474762,-0.0038960345839781515,-0.7792069167956303,3,BULL,2026-04-11
1H,NEAR,LONG,1775876400,1.3546328125000002,1.3429756696428574,1775883600,SL,0.008605389408536007,0.017210778817072014,-0.008605389408535983,-1.7210778817071966,3,BULL,2026-04-11
4H,NEAR,LONG,1775880000,1.3398750000000001,1.352,1775905200,TIME,0.0124105393626804,0.02233897085282472,0.009049351618621096,1.809870323724219,8,NEUTRAL,2026-04-11
4H,BTC,SHORT,1775880000,72782.575,72907.05,1775905200,TIME,0.005256350359762809,0.007884525539644213,-0.001710230779826158,-0.3420461559652316,8,NEUTRAL,2026-04-11
4H,LINK,LONG,1775880000,9.0,9.01,1775905200,TIME,0.0035714285714285726,0.008928571428571432,0.0011111111111110875,0.2222222222222175,8,NEUTRAL,2026-04-11
1H,XLM,SHORT,1775887200,0.1537125,0.1533,1775894400,TIME,0.005724973570789633,0.011449947141579266,0.0026835813613077016,0.5367162722615403,3,NEUTRAL,2026-04-11
1H,UNI,SHORT,1775887200,3.1514375,3.142,1775894400,TIME,0.004913857338346153,0.009827714676692306,0.0029946651329750976,0.5989330265950196,3,NEUTRAL,2026-04-11
1H,CRV,SHORT,1775887200,0.219521875,0.2183,1775894400,TIME,0.0070542920999168285,0.014108584199833657,0.0055660739960425865,1.1132147992085173,3,NEUTRAL,2026-04-11
1H,SUI,SHORT,1775887200,0.9318,0.933,1775894400,TIME,0.00632263207923222,0.01264526415846444,-0.0012878300064392465,-0.2575660012878493,3,NEUTRAL,2026-04-11
1H,LDO,LONG,1775887200,0.3285,0.33,1775894400,TIME,0.007079799956512287,0.014159599913024574,0.0045662100456621045,0.9132420091324209,3,NEUTRAL,2026-04-11
1H,FIL,SHORT,1775887200,0.9005000000000001,0.897,1775894400,TIME,0.005901483302926951,0.011802966605853902,0.0038867295946696926,0.7773459189339386,3,NEUTRAL,2026-04-11
1H,LINK,LONG,1775887200,9.0,9.0,1775894400,TIME,0.005015873015872999,0.010031746031745998,0.0,0.0,3,NEUTRAL,2026-04-11
1H,SOL,SHORT,1775887200,84.18,84.17,1775894400,TIME,0.004127210399484117,0.008254420798968234,0.00011879306248521162,0.023758612497042326,3,NEUTRAL,2026-04-11
4H,APT,LONG,1775894400,0.855,0.8486357142857143,1775898000,SL,0.007443609022556398,0.013398496240601517,-0.007443609022556388,-1.4887218045112776,2,BULL,2026-04-11
4H,CRV,LONG,1775894400,0.219521875,0.2213115892857143,1775898000,TP,0.006793986118370082,0.008152783342044098,0.008152783342044083,1.6305566684088164,2,BULL,2026-04-11
4H,ADA,LONG,1775894400,0.24975546875,0.24858046874999998,1775912400,SL,0.004704601688526617,0.011761504221316542,-0.004704601688526628,-0.9409203377053257,6,BULL,2026-04-11
4H,FIL,LONG,1775894400,0.8964189453125,0.8906332310267857,1775912400,SL,0.0064542525746121284,0.0064542525746121284,-0.006454252574612119,-1.2908505149224239,6,BULL,2026-04-11
4H,PENDLE,LONG,1775894400,1.1,1.0922285714285715,1775894400,SL,0.007064935064935059,0.017662337662337647,-0.007064935064935036,-1.4129870129870072,1,BULL,2026-04-11
1H,TON,LONG,1775898000,1.351,1.3396285714285714,1775898000,SL,0.008417045574706551,0.016834091149413102,-0.008417045574706579,-1.6834091149413157,1,BULL,2026-04-11
1H,CRV,LONG,1775898000,0.2213,0.21968857142857143,1775898000,SL,0.007281647408172489,0.014563294816344979,-0.007281647408172477,-1.4563294816344954,1,BULL,2026-04-11
1H,LDO,LONG,1775898000,0.33147499999999996,0.32944071428571425,1775898000,SL,0.0061370713154407395,0.012274142630881479,-0.006137071315440714,-1.2274142630881428,1,BULL,2026-04-11
1H,UNI,LONG,1775898000,3.1514375,3.1369803571428574,1775898000,SL,0.00458747567011653,0.00917495134023306,-0.004587475670116486,-0.9174951340232973,1,BULL,2026-04-11
1H,PENDLE,LONG,1775898000,1.0845,1.1003857142857143,1775905200,TP,0.007323980767964171,0.014647961535928343,0.014647961535928336,2.929592307185667,3,BULL,2026-04-11
1H,BTC,LONG,1775898000,72784.5175,72907.05,1775905200,TIME,0.002889704040226893,0.005779408080453786,0.00168349676838898,0.336699353677796,3,BULL,2026-04-11
1H,ETH,LONG,1775898000,2249.075,2240.3172857142854,1775898000,SL,0.0038939182933936394,0.007787836586787279,-0.003893918293393697,-0.7787836586787394,1,BULL,2026-04-11
1H,BNB,LONG,1775898000,608.161875,606.5561607142857,1775898000,SL,0.002640274492238239,0.005280548984476478,-0.002640274492238223,-0.5280548984476446,1,BULL,2026-04-11
1H,PENDLE,LONG,1775908800,1.093,1.0847714285714285,1775912400,SL,0.007528427656515496,0.015056855313030993,-0.00752842765651553,-1.5056855313031061,2,BULL,2026-04-11
1H,NEAR,LONG,1775908800,1.35466015625,1.352,1775916000,TIME,0.006158634772245779,0.012317269544491558,-0.001963707456609514,-0.3927414913219028,3,BULL,2026-04-11
1H,LDO,LONG,1775908800,0.33147499999999996,0.3296635714285714,1775912400,SL,0.005464751705041322,0.010929503410082643,-0.005464751705041331,-1.0929503410082662,2,BULL,2026-04-11
1H,ETH,LONG,1775908800,2249.9025,2242.643642857143,1775908800,SL,0.0032262985364286704,0.006452597072857341,-0.003226298536428722,-0.6452597072857444,1,BULL,2026-04-11
1H,BTC,LONG,1775908800,72786.1490625,72629.95420535715,1775912400,SL,0.0021459420391747447,0.004291884078349489,-0.0021459420391746475,-0.4291884078349295,2,BULL,2026-04-11
1H,BNB,LONG,1775908800,608.2125,606.8062142857143,1775908800,SL,0.0023121618090481463,0.0046243236180962925,-0.002312161809048109,-0.4624323618096218,1,BULL,2026-04-11
1H,TON,LONG,1775908800,1.417,1.4021428571428571,1775908800,SL,0.010484927916120577,0.020969855832241154,-0.010484927916120608,-2.0969855832241215,1,BULL,2026-04-11
