trade_idx,id,source,coin,direction,entry_time,pnl_usd,win,macro,ema_4h,coin_wr,entry_dist,rsi_ok,ob_confirms,funding_contrarian,score,n_valid_factors
164,271,fortix,SOL,SHORT,2026-04-14 23:16:02.231473+00:00,-4.690000000000019,0,0,0.0,0.0,1,1.0,1.0,0.0,2,5
165,132,okx,SOL,SHORT,2026-04-14 23:16:02.234185+00:00,-4.690000000000019,0,0,0.0,0.0,1,1.0,,,2,5
166,270,fortix,PENDLE,SHORT,2026-04-14 23:18:07.265097+00:00,-26.871472,0,0,1.0,1.0,1,1.0,0.0,0.0,4,5
167,275,fortix,XRP,SHORT,2026-04-14 23:39:51.812031+00:00,15.618000000000105,1,0,0.0,0.0,1,1.0,0.0,0.0,2,5
168,274,fortix,ADA,SHORT,2026-04-15 00:06:43.457653+00:00,13.971599999999754,1,0,1.0,0.0,1,1.0,1.0,0.0,3,5
169,133,okx,ADA,SHORT,2026-04-15 00:06:43.461700+00:00,13.971599999999754,1,0,1.0,0.0,1,1.0,,,3,5
170,273,fortix,BNB,SHORT,2026-04-15 00:06:44.760301+00:00,-15.93072,0,0,0.0,0.0,1,1.0,0.0,1.0,2,5
171,283,fortix,PENDLE,SHORT,2026-04-15 02:13:21.617386+00:00,2.411100000000329,1,0,1.0,1.0,1,1.0,1.0,0.0,4,5
172,134,okx,PENDLE,SHORT,2026-04-15 02:13:25.217938+00:00,2.411100000000329,1,0,1.0,1.0,1,1.0,,,4,5
173,279,fortix,BTC,LONG,2026-04-15 02:26:42.053661+00:00,-12.441199999999778,0,1,1.0,0.0,1,1.0,0.0,1.0,4,5
174,135,okx,BTC,LONG,2026-04-15 02:26:42.056656+00:00,-12.441199999999778,0,1,1.0,0.0,1,1.0,,,4,5
175,282,fortix,AVAX,LONG,2026-04-15 02:31:54.566972+00:00,14.19400000000018,1,1,1.0,1.0,1,1.0,0.0,0.0,5,5
176,136,okx,AVAX,LONG,2026-04-15 02:31:54.569940+00:00,14.19400000000018,1,1,1.0,1.0,1,1.0,,,5,5
177,286,fortix,ADA,SHORT,2026-04-15 03:33:20.127392+00:00,-23.34310236,0,0,1.0,0.0,1,1.0,0.0,0.0,3,5
178,285,fortix,LINK,SHORT,2026-04-15 03:56:59.012042+00:00,10.82280000000019,1,0,0.0,1.0,1,1.0,0.0,0.0,3,5
179,137,okx,LINK,SHORT,2026-04-15 03:56:59.017610+00:00,10.82280000000019,1,0,0.0,1.0,1,1.0,,,3,5
180,284,fortix,ETH,SHORT,2026-04-15 04:02:11.281737+00:00,15.923999999999978,1,0,0.0,1.0,1,1.0,0.0,1.0,3,5
181,138,okx,ETH,SHORT,2026-04-15 04:02:11.285880+00:00,15.923999999999978,1,0,0.0,1.0,1,1.0,,,3,5
182,290,fortix,CRV,LONG,2026-04-15 04:12:58.350124+00:00,-23.81911656,0,1,1.0,1.0,1,1.0,1.0,0.0,5,5
183,300,fortix,ETH,LONG,2026-04-15 21:16:41.610362+00:00,-6.4758678,0,1,1.0,1.0,1,1.0,1.0,0.0,5,5
184,299,fortix,BTC,LONG,2026-04-15 21:16:42.659315+00:00,-4.43323884,0,1,1.0,0.0,1,1.0,1.0,1.0,4,5
185,305,fortix,CRV,LONG,2026-04-15 22:25:51.956186+00:00,-28.39206969,0,1,1.0,1.0,1,1.0,1.0,0.0,5,5
186,304,fortix,LINK,LONG,2026-04-15 23:01:27.006162+00:00,-4.832000000000004,0,1,1.0,1.0,1,1.0,0.0,0.0,5,5
187,139,okx,LINK,LONG,2026-04-15 23:01:27.008781+00:00,-4.832000000000004,0,1,1.0,1.0,1,1.0,,,5,5
188,314,fortix,LDO,SHORT,2026-04-15 23:15:01.403596+00:00,-48.34566942,0,0,0.0,1.0,1,1.0,1.0,1.0,3,5
189,313,fortix,ETH,LONG,2026-04-15 23:16:02.591765+00:00,-5.928000000000066,0,1,1.0,1.0,1,1.0,0.0,0.0,5,5
190,140,okx,ETH,LONG,2026-04-15 23:16:02.595325+00:00,-5.928000000000066,0,1,1.0,1.0,1,1.0,,,5,5
191,312,fortix,BNB,LONG,2026-04-15 23:16:03.709757+00:00,1.125,1,1,1.0,0.0,1,1.0,0.0,0.0,4,5
192,141,okx,BNB,LONG,2026-04-15 23:16:16.168244+00:00,1.125,1,1,1.0,0.0,1,1.0,,,4,5
193,317,fortix,ADA,LONG,2026-04-15 23:36:00.586718+00:00,30.81780000000009,1,1,1.0,0.0,1,1.0,0.0,0.0,4,5
194,142,okx,ADA,LONG,2026-04-15 23:36:00.591837+00:00,30.81780000000009,1,1,1.0,0.0,1,1.0,,,4,5
195,320,fortix,UNI,LONG,2026-04-16 01:06:50.831361+00:00,40.752075,1,1,1.0,,1,1.0,1.0,0.0,4,4
196,319,fortix,AVAX,LONG,2026-04-16 01:06:51.809165+00:00,42.4295352,1,1,1.0,1.0,1,1.0,0.0,0.0,5,5
197,318,fortix,PENDLE,LONG,2026-04-16 01:06:52.781347+00:00,58.91831064,1,1,1.0,1.0,1,1.0,0.0,0.0,5,5
198,327,fortix,BTC,LONG,2026-04-16 02:15:49.132130+00:00,14.063800000000219,1,1,1.0,0.0,1,1.0,0.0,1.0,4,5
