coin,strategy,sl_mult,rr,hold_bars,trades,wins,wr,total_pnl,avg_pnl,pf,max_consec_loss,sharpe
BTC,BTC_PLUS_OWN,0.9,1.8,3,794,341,42.9,10.4,0.0131,1.022,8,0.009
BTC,BTC_PLUS_OWN,0.9,1.8,4,743,330,44.4,18.33,0.0247,1.038,9,0.0156
BTC,BTC_PLUS_OWN,0.9,2.0,1,1179,509,43.2,-55.35,-0.0469,0.879,10,-0.0482
BTC,BTC_PLUS_OWN,0.9,2.0,2,873,376,43.1,-36.63,-0.042,0.92,10,-0.0323
BTC,BTC_PLUS_OWN,0.9,2.0,3,783,333,42.5,5.46,0.007,1.011,10,0.0047
BTC,BTC_PLUS_OWN,0.9,2.0,4,727,316,43.5,14.38,0.0198,1.03,12,0.0122
BTC,BTC_PLUS_OWN,0.9,2.5,1,1179,509,43.2,-51.1,-0.0433,0.888,10,-0.0435
BTC,BTC_PLUS_OWN,0.9,2.5,2,869,374,43.0,-20.86,-0.024,0.954,10,-0.0177
BTC,BTC_PLUS_OWN,0.9,2.5,3,770,318,41.3,-3.47,-0.0045,0.993,12,-0.0029
BTC,BTC_PLUS_OWN,0.9,2.5,4,700,297,42.4,-0.44,-0.0006,0.999,12,-0.0004
BTC,BTC_PLUS_OWN,1.0,1.0,1,1197,538,44.9,-47.89,-0.04,0.896,7,-0.0424
BTC,BTC_PLUS_OWN,1.0,1.0,2,922,445,48.3,-21.98,-0.0238,0.953,10,-0.0201
BTC,BTC_PLUS_OWN,1.0,1.0,3,862,424,49.2,-8.33,-0.0097,0.983,9,-0.0074
