trade_id,coin,direction,leverage,entry_price,sl,tp,margin,fill_time_utc,close_time_utc,hold_minutes,exit_reason,roi_pct,pnl,peak_roi,peak_time_utc,peak_minutes,worst_roi,tp_target_roi,tp_distance_reached_pct,would_hit_tp_after_sl,category,category_desc,trailing_roi,trailing_pnl,trailing_saved
100,LINK,LONG,8,9.513,9.399,9.741,351.98,2026-04-16 23:13,2026-04-17 02:29,196,STOP_LOSS,-9.8,-37.58,9.0,2026-04-17 00:00,47,-10.34,19.17,46.9,False,B,COULD-HAVE-WON (trailing would save),4.08,14.36,51.94
101,PENDLE,LONG,7,1.2737,1.2503,1.3205,366.64,2026-04-16 23:13,2026-04-17 03:16,243,TIME_EXIT,-6.5,-23.78,15.0,2026-04-17 00:00,47,-13.57,25.72,58.3,False,G,TIME_EXIT LOST (loss),,,
102,CRV,LONG,8,0.2315,0.2286,0.2374,350.0,2026-04-16 21:21,2026-04-17 03:16,355,TIME_EXIT,2.4,8.47,11.06,2026-04-17 01:00,219,-5.53,20.39,54.2,False,F,TIME_EXIT OK (profit),,,
103,UNI,SHORT,7,3.4019,3.4479,3.31,349.91,2026-04-16 22:45,2026-04-17 03:16,271,TIME_EXIT,10.0,35.28,10.68,2026-04-17 04:00,315,-8.25,18.91,56.5,False,F,TIME_EXIT OK (profit),,,
104,XRP,SHORT,8,1.449,1.4643,1.4183,349.93,2026-04-16 22:45,2026-04-17 03:16,271,TIME_EXIT,11.2,39.22,14.63,2026-04-17 02:00,195,-4.86,16.95,86.3,False,F,TIME_EXIT OK (profit),,,
105,BTC,LONG,10,74886.0,74366.3729,75925.2543,351.96,2026-04-16 22:51,2026-04-17 03:16,265,TIME_EXIT,-3.0,-10.65,3.9,2026-04-16 23:00,8,-4.76,13.88,28.1,False,G,TIME_EXIT LOST (loss),,,
106,BTC,LONG,10,0,0,0,350,,2026-04-17 03:18,,STOP_LOSS,-3.0,-13.35,0,,0,0,,0,,C,WRONG DIRECTION (no fix),,,
107,XRP,SHORT,8,0,0,0,350,,2026-04-17 03:18,,TARGET_HIT,11.2,36.33,0,,0,0,,0,,A,WINNER (TP hit),,,
108,UNI,SHORT,7,0,0,0,350,,2026-04-17 03:18,,TARGET_HIT,10.0,32.84,0,,0,0,,0,,A,WINNER (TP hit),,,
109,CRV,LONG,8,0,0,0,350,,2026-04-17 03:18,,TARGET_HIT,2.4,6.08,0,,0,0,,0,,A,WINNER (TP hit),,,
110,PENDLE,LONG,7,0,0,0,350,,2026-04-17 03:18,,STOP_LOSS,-6.5,-25.95,0,,0,0,,0,,C,WRONG DIRECTION (no fix),,,
