trade_id,coin,direction,filled_at,fill_price,pnl_usd,pnl_pct,exit_reason,is_win,profi_conf,macro,ema_4h,ob,funding,rsi,coin_wr,entry_dist,checklist_score,checklist_pct,rsi_value,btc_7d_pct
84d989a8,TAO,SHORT,2026-04-14T15:08:06.245798+00:00,251.44,-0.02199999999997999,-3.977091950362275e-05,NEWS_REACTION,0,0.65,0,1,1,1,1,0,0,4,0.5714285714285714,30.845771144278558,0.10487266037926832
6e84e52e,LINK,SHORT,2026-04-14T15:08:08.263339+00:00,9.129,1.7163999999999195,0.0030671486471682214,NEWS_REACTION,1,0.6,0,0,1,1,1,0,1,4,0.5714285714285714,38.888888888888985,0.10487266037926832
874aa45d,DOGE,SHORT,2026-04-14T15:08:09.261044+00:00,0.096,2.3331999999999855,0.0041666666666666415,NEWS_REACTION,1,0.62,0,0,1,1,1,1,0,4,0.5714285714285714,62.36702127659571,0.10487266037926832
707390d6,RENDER,SHORT,2026-04-14T15:08:10.208501+00:00,1.885,0.26729999999997056,0.00047745358090180417,NEWS_REACTION,1,0.68,0,1,1,0,1,1,0,4,0.5714285714285714,33.12101910828028,0.10487266037926832
85d7228c,LDO,SHORT,2026-04-14T15:08:11.156096+00:00,0.3601,1.0884999999999663,0.0019439044709802233,NEWS_REACTION,1,0.72,0,0,1,1,1,0,0,3,0.42857142857142855,53.5512965050733,0.10487266037926832
f01d3ce2,ETH,SHORT,2026-04-14T15:08:12.190230+00:00,2348.0,1.9741400000000522,0.0035178875638842495,NEWS_REACTION,1,0.78,0,0,1,1,1,0,0,3,0.42857142857142855,48.392448060668414,0.10487266037926832
0f6fbc41,ZAMA,LONG,2026-04-14T16:07:03.808745+00:00,0.0348,4.34644221,0.008623167576889959,TARGET_HIT,1,0.65,1,0.5,0,1,0.5,1,0.5,4.5,0.6428571428571429,,0.09412591149434422
827fb6bc,COAI,LONG,2026-04-14T16:07:14.039829+00:00,0.4262,-10.05304476,-0.025815536259094003,STOP_LOSS,0,0.68,1,0.5,1,0,0.5,0,0.5,3.5,0.5,,0.09412591149434422
7d6d7db7,MYX,SHORT,2026-04-14T16:07:24.336594+00:00,0.348,-8.4175986,-0.02178899082568806,STOP_LOSS,0,0.72,0,0.5,1,0,0.5,0,0.5,2.5,0.35714285714285715,,0.09412591149434422
93c72b6e,LDO,LONG,2026-04-14T16:07:46.322715+00:00,0.3533,-9.22234204,-0.015284460798188553,STOP_LOSS,0,0.55,1,1,1,1,1,0,0,5,0.7142857142857143,48.45814977973567,0.09412591149434422
